Countries,Average Life Expectancy Age 1800-1900,Average Life Expectancy Age 1901-2001,Average Life Expectancy Age 2002-2016,Average Life Expectancy Age Over 216 Years,Year,Age (CAN),Age (IND),Age (AUS),Age (BRZ),Age (CHN),Age (FRN),Age (GRM),Age (ITL),Age (JPN),Age (MEX),Age (RUS),Age (SPN),Age (SWZ),Age (UK),Age (US)
,,,,,2007,80.650002,64.93,81.43,73.459999,73.379997,80.910004,79.669998,81.269997,82.410004,75.660004,67.559998,81.07,81.690002,79.639999,78.169998
,,,,,2008,80.870003,65.32,81.580002,73.720001,73.599998,81.080002,79.830002,81.459999,82.57,75.440002,67.870003,81.360001,81.919998,79.879997,78.370003
,,,,,2009,81.120003,65.730003,81.790001,73.940002,74.120003,81.290001,79.970001,81.57,82.769997,75.349998,68.849998,81.68,82.059998,80.169998,78.599998
,,,,,2010,81.339996,66.120003,81.989998,74.150002,74.419998,81.480003,80.139999,81.779999,82.910004,75.440002,69.220001,81.970001,82.300003,80.389999,78.779999
,,,,,2011,81.529999,66.510002,82.150002,74.379997,74.870003,81.709999,80.32,81.919998,82.660004,75.720001,69.860001,82.18,82.540001,80.580002,78.870003
,,,,,2012,81.660004,66.910004,82.330002,74.639999,75.25,81.839996,80.480003,82.019997,83.230003,75.879997,70.449997,82.32,82.660004,80.68,78.940002
,,,,,2013,81.75,67.279999,82.529999,74.839996,75.519997,82.010002,80.57,82.239998,83.440002,75.790001,70.760002,82.629997,82.800003,80.769997,78.959999
,,,,,2014,81.790001,67.720001,82.580002,75.010002,75.68,82.220001,80.790001,82.290001,83.690002,75.900002,70.860001,82.839996,83.089996,80.82,78.940002
,,,,,2015,81.769997,68.099998,82.550003,75.139999,76.040001,82.269997,80.870003,82.330002,83.830002,76.190002,70.830002,82.910004,83.160004,80.860001,78.870003
,,,,,2016,81.849998,68.550003,82.519997,75.239998,76.360001,82.339996,80.93,82.339996,83.940002,76.379997,70.870003,82.970001,83.18,80.900002,78.860001
